SUBMITTED_DATE;CASE_NO;PROGRAM;NAME;ADDRESS1;ADDRESS2;CITY;STATE;POSTAL_CODE;NBR_IMMIGRANTS;BEGIN_DATE;END_DATE;JOB_TITLE;DOL_DECISION_DATE;CERTIFIED_BEGIN_DATE;CERTIFIED_END_DATE;JOB_CODE;APPROVAL_STATUS;WAGE_RATE_1;RATE_PER_1;MAX_RATE_1;PART_TIME_1;CITY_1;STATE_1;PREVAILING_WAGE_1;WAGE_SOURCE_1;YR_SOURCE_PUB_1;OTHER_WAGE_SOURCE_1;WAGE_RATE_2;RATE_PER_2;MAX_RATE_2;PART_TIME_2;CITY_2;STATE_2;PREVAILING_WAGE_2;WAGE_SOURCE_2;YR_SOURCE_PUB_2;OTHER_WAGE_SOURCE_2;WITHDRAWN;OCCUPATIONAL_TITLE
30.03.2008;I-08090-4182485;R;SPI RESEARCH AND DEVELOPMENT SERVICES, LLC;67 SOUTH BEDFORD STREET;205 W;BURLINGTON;MA;01803;1;30.09.2008;29.09.2011;PROGRAMMER ANALYST;30.03.2008;;;30;CERTIFIED;50000;yr;77000;N;BURLINGTON;MA;44298;yr;2007;DOL ONLINE WAGE LIBRARY;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
30.03.2008;I-08090-4182487;R;Nexus Software Solutions,Inc.;200 Lakeside Drive, Suite 228;;Horsham;PA;19044;1;29.09.2008;29.09.2011;JAVA/J2EE DEVELOPER;30.03.2008;;;30;CERTIFIED;45000;yr;;N;Horsham;PA;43597;yr;2008;Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
30.03.2008;I-08090-4182493;R;GREYCELL INC;3830 VILLAGE TER;SUITE 241;FREMONT;CA;94536;1;29.09.2008;29.09.2011;COMPUTER PROGRAMMER;30.03.2008;;;30;CERTIFIED;52700;yr;;N;FREMONT;CA;52437;yr;2007;FLC Data Center Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
30.03.2008;I-08090-4182495;R;DATA PIONEER INC;80 WALL STREET;SUITE # 912;NEW YORK;NY;10005;1;30.09.2008;29.09.2011;PROGRAMMER ANALYST;30.03.2008;;;30;CERTIFIED;70000;yr;75000;N;NEW YORK;NY;60000;yr;2008;EMPLOYER OWN SURVEY;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
30.03.2008;I-08090-4182497;R;Nexus Software Solutions,Inc.;200 Lakeside Drive, Suite 228;;Horsham;PA;19044;1;29.09.2008;29.09.2011;ASP.NET DEVELOPER;30.03.2008;;;30;CERTIFIED;45000;yr;;N;HORSHAM;PA;43597;yr;2008;Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
30.03.2008;I-08090-4182503;R;GREYCELL INC;3830 VILLAGE TER;SUITE 241;FREMONT;CA;94536;1;25.09.2008;25.09.2011;COMPUTER PROGRAMMER;30.03.2008;;;30;CERTIFIED;52700;yr;;N;FREMONT;CA;52437;yr;2007;FLC Data Center Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
30.03.2008;I-08090-4182505;R;Nexus Software Solutions,Inc.;200 Lakeside Drive, Suite 228;;Horsham;PA;19044;1;29.09.2008;29.09.2011;SYSTEM ANALYST;30.03.2008;;;30;CERTIFIED;48000;yr;;N;HORSHAM;PA;46051;yr;2008;Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
30.03.2008;I-08090-4182507;R;Nexus Software Solutions,Inc.;200 Lakeside Drive, Suite 228;;Horsham;PA;19044;1;30.09.2008;30.09.2011;SAP SCM CONSULTANT;30.03.2008;;;30;CERTIFIED;48000;yr;;N;HORSHAM;PA;46051;yr;2008;Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
26.03.2008;I-08086-4125559;R;PRINCE GEORGE`S COUNTY PUBLIC SCHOOLS;14201 SCHOOL LANE;;UPPER MARLBORO;MD;20774;1;01.08.2008;31.07.2011;ELEMENTARY SCHOOL TEACHER;26.03.2008;;;92;CERTIFIED;68393;yr;;N;BLADENSBURG;MD;43481;yr;;;;;;;;;;;;;N;OCCUPATIONS IN PRESCHOOL PRIMARY SCHOOL AND KINDERGARTEN EDUCATION
27.03.2008;I-08086-4125561;R;Busch Entertainment Corporation;7007 SeaWorld Drive;;Orlando;FL;32821;1;18.08.2008;18.08.2011;PRODUCTIVITY ANALYST II;27.03.2008;;;169;CERTIFIED;31990;yr;46771;N;Orlando;FL;31990;yr;2008;OES Online Wage Library;;;;;;;;;;;N;OTHER OCCUPATIONS IN ADMINISTRATIVE OCCUPATIONS
