LCA_CASE_NUMBER;STATUS;LCA_CASE_SUBMIT;DECISION_DATE;VISA_CLASS;LCA_CASE_EMPLOYMENT_START_DATE;LCA_CASE_EMPLOYMENT_END_DATE;LCA_CASE_EMPLOYER_NAME;LCA_CASE_EMPLOYER_ADDRESS;LCA_CASE_EMPLOYER_CITY;LCA_CASE_EMPLOYER_STATE;LCA_CASE_EMPLOYER_POSTAL_CODE;LCA_CASE_SOC_CODE;LCA_CASE_SOC_NAME;LCA_CASE_JOB_TITLE;LCA_CASE_WAGE_RATE_FROM;LCA_CASE_WAGE_RATE_TO;LCA_CASE_WAGE_RATE_UNIT;FULL_TIME_POS;TOTAL_WORKERS;LCA_CASE_WORKLOC1_CITY;LCA_CASE_WORKLOC1_STATE;PW_1;PW_UNIT_1;PW_SOURCE_1;OTHER_WAGE_SOURCE_1;YR_SOURCE_PUB_1;LCA_CASE_WORKLOC2_CITY;LCA_CASE_WORKLOC2_STATE;PW_2;PW_UNIT_2;PW_SOURCE_2;OTHER_WAGE_SOURCE_2;YR_SOURCE_PUB_2;LCA_CASE_NAICS_CODE
I-200-09124-371007;CERTIFIED;03.08.2011;09.08.2011;H-1B;01.10.2011;30.09.2014;WILLISTON NORTHAMPTON SCHOOL;19 PAYSON AVENUE;EASTHAMPTON;MA;1027;25-3999;Teachers and Instructors, All Other*;CHINESE TEACHER;40400;;Year;Y;1;EASTHAMPTON;MA;23350;Year;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;611110
I-200-09125-717448;CERTIFIED;11.01.2011;18.01.2011;H-1B;01.02.2011;01.02.2014;NYFIX, INC.;11 WALL STREET;NEW YORK;NY;10005;15-1031.00;Computer Software Engineers, Applications;PROJECT MANAGER;150000;;Year;Y;1;NEW YORK;NY;101088;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;5415
I-200-09126-530125;CERTIFIED-WITHDRAWN;21.04.2011;27.04.2011;H-1B;01.09.2011;01.09.2014;TGS-NOPEC GEOPHYSICAL COMPANY;2500 CITYWEST BLVD.;HOUSTON;TX;77042;15-1031.00;Computer Software Engineers, Applications;PRINCIPAL TRAINER / DEVELOPMENT ANALYST;87500;;Year;Y;1;HOUSTON;TX;77480;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541360
I-200-09127-370154;CERTIFIED;19.04.2011;25.04.2011;H-1B;01.10.2011;01.10.2014;AFREN USA, INC.;10001 WOODLOCH FOREST DRIVE;THE WOODLANDS;TX;77380;11-9041.00;Engineering Managers;DRILLING MANAGER;233500;;Year;Y;1;THE WOODLANDS;TX;165506;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;211111
I-200-09127-334015;CERTIFIED;04.04.2011;08.04.2011;H-1B;04.04.2011;02.03.2012;BA-INSIGHT, LLC;60E 42ND ST., STE. 1410;NEW YORK;NY;10165;15-1041.00;Computer Support Specialists;TECHNICAL SUPPORT ENGINEER;68000;;Year;Y;1;BOSTON;MA;62358;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541519
I-200-09127-916460;CERTIFIED;09.06.2011;15.06.2011;H-1B;20.06.2011;20.06.2014;NIKE, INC.;ONE BOWERMAN DRIVE;BEAVERTON;OR;97005;11-2021.00;Marketing Managers;SENIOR GLOBAL CATEGORY COMMERCE MANAGER;111450;;Year;Y;1;BEAVERTON;OR;111405;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;316219
I-200-09128-435660;CERTIFIED;04.04.2011;08.04.2011;H-1B;01.07.2011;30.06.2014;PENINSULA REGIONAL MEDICAL CENTER;100 E. CARROLL STREET;SALISBURY;MD;21801-5493;29-1069.99;Physicians and Surgeons, All Other;ENDOCRINOLOGIST;187000;;Year;Y;1;SALISBURY;MD;99632;Year;OES;OFLC ONLINE DATA CENTER;2011;SALISBURY;MD;99632;Year;OES;OFLC ONLINE DATA CENTER;2011;622110
I-200-09128-141686;CERTIFIED;17.12.2010;23.12.2010;H-1B;20.12.2010;19.12.2013;FIDELITY TECHNOLOGY GROUP LLC;ONE SPARTAN WAY;MERRIMACK;NH;3054;15-1031.00;Computer Software Engineers, Applications;SENIOR PROJECT MANAGER;78728;93766;Year;Y;1;MERRIMACK;NH;78728;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;523999
I-200-09131-811575;CERTIFIED;29.12.2010;05.01.2011;H-1B;31.05.2011;30.05.2014;OMS ONLINE, LLC;8200 COLLEGE PARKWAY, SUITE 101;FORT MYERS;FL;33919;15-1031.00;Computer Software Engineers, Applications;COMPUTER SOFTWARE ENGINEER, APPLICATIONS;70000;;Year;Y;1;FORT MYERS;FL;58802;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541500
I-200-09131-501379;CERTIFIED;16.12.2010;22.12.2010;H-1B;01.04.2011;31.03.2014;WEBSENSE, INC.;10240 SORRENTO VALLEY ROAD;SAN DIEGO;CA;92121;15-1071.01;Computer Security Specialists;SECURITY RESEARCHER;75004,8;;Year;Y;1;SAN DIEGO;CA;61963;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541511
I-200-09131-737453;CERTIFIED;05.04.2011;11.04.2011;H-1B;15.08.2011;14.08.2014;SIERRA WIRELESS AMERICA, INC.;2200 FARADAY AVENUE;CARLSBAD;CA;92008;15-1032.00;Computer Software Engineers, Systems Software;EMBEDDED SOFTWARE ENGINEER;106600;;Year;Y;1;NEWARK;CA;95867;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;334220
I-200-09131-277350;CERTIFIED;25.05.2011;01.06.2011;H-1B;31.05.2011;30.05.2014;DJO, LLC;1430 DECISION STREET;VISTA;CA;92081;15-1051.00;Computer Systems Analysts;SENIOR BUSINESS ANALYST;105000;;Year;Y;1;VISTA;CA;102123;Year;Other;RADFORD GLOBAL TECHNOLOGY SURVEY;2010;;;;;;;;339112
I-200-09132-211172;CERTIFIED;13.06.2011;17.06.2011;H-1B;01.10.2011;30.09.2014;ACCELRYS SOFTWARE, INC.;10188 TELESIS COURT;SAN DIEGO;CA;92121;15-1031.00;Computer Software Engineers, Applications;SOFTWARE INTEGRATION ENGINEER;79850,82;;Year;Y;1;FREDERICK;MD;73749;Year;Other;RADFORD GLOBAL TECHNOLOGY SURVEY;2010;SAN DIEGO;CA;75248;Year;Other;RADFORD GLOBAL TECHNOLOGY SURVEY;2010;541700
I-200-09132-944254;CERTIFIED;16.03.2011;22.03.2011;H-1B;17.06.2011;27.02.2013;NUANCE COMMUNICATIONS, INC.;ONE WAYSIDE ROAD, SUITE 100;BURLINGTON;MA;1803;15-1099.99;Computer Specialists, All Other;SENIOR PROJECT MANAGER;98800;;Year;Y;1;SEATTLE;WA;98280;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;511210
I-200-09132-593472;CERTIFIED;23.08.2011;29.08.2011;H-1B;01.10.2011;01.10.2014;RS COMPUTER ASSOCIATES, LLC;37600 CENTRAL COURT;NEWARK;CA;94560;15-1121;Computer Systems Analysts;TECHNICAL SUPPORT ENGINEER;71000;;Year;Y;1;NEWARK;CA;70866;Year;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;541510
I-200-09134-228529;CERTIFIED;06.06.2011;10.06.2011;H-1B;01.10.2011;30.09.2014;NEW YORK CITY DEPARTMENT OF EDUCATION;65 COURT STREET;BROOKLYN;NY;11201;25-2022.00;Middle School Teachers, Except Special and Vocatio;MATHEMATICS TEACHER;45530;;Year;Y;53;BROOKLYN;NY;45530;Year;CBA;;2008;;;;;;;;611110
I-200-09134-846024;CERTIFIED;12.05.2011;18.05.2011;H-1B;01.10.2011;01.10.2014;MCAFEE, INC.;2430 ENERGY PARK DRIVE;ST. PAUL;MN;55108;15-1032.00;Computer Software Engineers, Systems Software;SOFTWARE DEVELOPMENT ENGINEER;105123;125500;Year;Y;1;SANTA CLARA;CA;105123;Year;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;5415
I-200-09134-237376;CERTIFIED;12.05.2011;18.05.2011;H-1B;15.09.2011;15.09.2014;MCAFEE, INC.;2430 ENERGY PARK DRIVE;ST. PAUL;MN;55108;15-1031.00;Computer Software Engineers, Applications;SOFTWARE DEVELOPMENT ENGINEER;75400;125500;Year;Y;1;SANTA CLARA;CA;74500;Year;Other;TOWERS WATSON DATA SERVICES: PROFESSIONAL SPECIALIZED SERVICES PERSONNEL;2011;;;;;;;;5415
I-200-09139-350383;DENIED;09.08.2011;11.08.2011;H-1B;06.10.2011;05.10.2014;ABERCROMBIE & FITCH TRADING CO.;6301 FITCH PATH;NEW ALBANY;OH;43054;27-1022;Fashion Designers;SENIOR CAD DESIGNER;128000;;Year;Y;1;NEW ALBANY;OH;79560;Month;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;448000
I-200-09141-801848;CERTIFIED;08.11.2010;15.11.2010;H-1B;01.05.2011;01.05.2014;ZIFF BROTHERS INVESTMENTS, LLC;350 PARK AVENUE, 11TH FLOOR;NEW YORK;NY;10022;13-2051.00;Financial Analysts;RESEARCH DIRECTOR (INVESTMENTS);295000;;Year;Y;1;NEW YORK;NY;111966;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;523110
I-200-09141-341876;CERTIFIED;19.05.2011;25.05.2011;H-1B;19.06.2011;19.06.2014;ENERGY SOLUTIONS INTERNATIONAL, INC.;7904 N. SAM HOUSTON PKWY. W.;HOUSTON;TX;77064;15-1051.00;Computer Systems Analysts;APPLICATIN SUPPORT DEVELOPER;50348;;Year;Y;1;HOUSTON;TX;50315;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541330
I-200-09141-273332;WITHDRAWN;21.04.2011;21.04.2011;H-1B;01.10.2011;30.09.2012;MCKINSEY & COMPANY, INC. UNITED STATES;PARK AVENUE PLAZA;NEW YORK;NY;10055;13-1111.00;Management Analysts;MANAGEMENT CONSULTANT;125000;;Year;Y;1;NEW YORK;NY;94432;Year;OES;OFLC ONLINE DATA CENTER;2009;;;;;;;;541610
I-200-09147-577389;CERTIFIED;08.10.2010;15.10.2010;H-1B;18.10.2010;17.10.2013;STUDIO STYLES INTERNATIONAL, INC.;2600 GLADES CIRCLE;WESTON;FL;33327;11-2011.00;Advertising and Promotions Managers;PROMOTIONS AND MARKETING DIRECTOR;28,8;;Hour;N;1;WESTON;FL;26,2;Hour;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;812112
I-200-09152-663352;CERTIFIED;07.07.2011;13.07.2011;H-1B;18.09.2011;17.09.2014;NATIONAL SEMICONDUCTOR CORPORATION;2900 SEMICONDUCTOR DRIVE;SANTA CLARA;CA;95052;17-2071;Electrical Engineers;SPICE MODELING ENGINEER;91936;120620;Year;Y;1;SANTA CLARA;CA;91936;Year;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;334413
